"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)","Raridade (M R U C)","Cor (W U B R G M A L)",Extras,"Card #",Comentario
"Retorno de Avacyn","Avacyn Restored",avr,"Santuario dos Serafins","Seraph Sanctuary",1,NM,EN,C,L,,228,
"Rivais de Ixalan","Rivals of Ixalan",rix,"Aspirante a Marchadora Celeste","Skymarcher Aspirant",4,NM,PT,U,W,,21,
"Rivais de Ixalan","Rivals of Ixalan",rix,"Fim Desconcertante","Baffling End",4,NM,EN,U,W,,1,
"Rivais de Ixalan","Rivals of Ixalan",rix,"Orgulho dos Conquistadores","Pride of Conquerors",3,NM,EN,U,W,,17,
"Ruas de Nova Capenna","Streets of New Capenna",snc,"Sorte Grande","Big Score",1,NM,EN,C,R,,102,
"Ruas de Nova Capenna (Foil Etched / Gilded Foil)","Streets of New Capenna (Foil Etched / Gilded Foil)",fesnc,"Protetora do Santuario","Sanctuary Warden",1,NM,EN,M,W,,443,
"Salvadores Kamigawa","Saviors of Kamigawa",sok,"Relogio de Sangue","Blood Clock",1,NM,PT,R,C,,153,
,"Secret Lair Drop Series: More Borderless Planeswalkers!",sld158,"Sarkhan, Alma de Dragao","Sarkhan, Dragonsoul",1,NM,EN,M,R,Foil,1245,
,"Signature Spellbook: Chandra",ss3,"Chandra, Chama da Rebeldia","Chandra, Torch of Defiance",1,NM,EN,M,R,,1,
,"Signature Spellbook: Gideon",ss2,"Conviccao Verdadeira","True Conviction",1,NM,EN,R,W,,6,
,"Store Championship",sc9,"Lanca Veloz do Monasterio","Monastery Swiftspear",1,NM,EN,S,R,,27,
"Strixhaven: Escola de Magos","Strixhaven: School of Mages",stx,"Saurio do Salao","Hall Monitor",1,NM,PT,U,R,,105,
,"Tarkir: Dragonstorm",tdm,,"Sarkhan, Dragon Ascendant",2,NM,EN,R,R,,118,
,"Tarkir: Dragonstorm",tdm,,"Sarkhan, Dragon Ascendant",1,NM,EN,R,R,Foil,118,
,"Tarkir: Dragonstorm (Draconic Frame)",dftdm,,"Sarkhan, Dragon Ascendant",1,NM,EN,R,R,,302,
,"Tarkir: Dragonstorm (Ghostfire)",gftdm,,"Elspeth, Storm Slayer",1,NM,EN,M,W,"Foil, Foil Especial / Foil Etched",401,
,"Tarkir: Dragonstorm Commander",tdc,"Atsushi, o Ceu Flamejante","Atsushi, the Blazing Sky",4,NM,EN,M,R,,204,
,"Tarkir: Dragonstorm Commander",tdc,"Gadrak, Flagelo da Coroa","Gadrak, the Crown-Scourge",3,NM,EN,R,R,,214,
,"Tarkir: Dragonstorm Commander",tdc,"Servo do Soberano Dragao","Dragonlord's Servant",2,NM,EN,U,R,,210,
"Terras Selvagens de Eldraine","Wilds of Eldraine",woe,"Raiva Monstruosa","Monstrous Rage",4,NM,PT,U,R,,142,
,"The Hobbit",hob,,Attercop,1,NM,EN,C,G,Foil,116,
,"The Hobbit",hob,,"Bejeweled Warg",1,NM,EN,R,G,,117,
,"The Hobbit",hob,,"Belladonna Took",1,NM,EN,R,W,,4,
,"The Hobbit",hob,,"Beorn, Reluctant Host // Till and Tend",1,NM,EN,C,G,,118,
,"The Hobbit",hob,,"Bilbo Baggins, Burglar // Take a Glance",1,NM,EN,C,U,,34,
,"The Hobbit",hob,,"Bilbo's Gambit",1,NM,EN,R,W,,5,
,"The Hobbit",hob,,"Bilbo, Luckwearer // Burglar's Plot",2,NM,EN,U,U,,32,
,"The Hobbit",hob,,"Bolg's Company",1,NM,EN,R,M,,149,
,"The Hobbit",hob,,"Confusticate and Bebother",1,NM,EN,C,U,,35,
,"The Hobbit",hob,,"Crude Bent Blade",2,NM,EN,C,B,,63,
,"The Hobbit",hob,,"Dain Ironfoot",1,NM,EN,R,R,,91,
,"The Hobbit",hob,,"Desolation Prowler",1,NM,EN,U,B,,64,
,"The Hobbit",hob,,"Dori, Bearer of Friends",2,NM,EN,C,R,,94,
,"The Hobbit",hob,,"Down in the Valley",1,NM,EN,R,G,Foil,124,
,"The Hobbit",hob,,"Down, Down to Goblin-town",1,NM,EN,U,B,Foil,65,
,"The Hobbit",hob,,"Duskwatch Hunter",2,NM,EN,C,M,,153,
,"The Hobbit",hob,,"Dwalin, Weaponmaster",1,NM,EN,R,M,,154,
,"The Hobbit",hob,"Elfos da Floresta","Wood Elves",3,NM,EN,C,G,,142,
,"The Hobbit",hob,,"Elven Passage",1,NM,EN,R,L,,181,
,"The Hobbit",hob,,"Elven Raft-Steerer",1,NM,EN,U,U,,37,
,"The Hobbit",hob,,"Elven Raft-Steerer",1,NM,EN,U,U,Foil,37,
,"The Hobbit",hob,,"Elvenking's Halls",1,NM,EN,C,L,Foil,182,
,"The Hobbit",hob,,"Elvenking's Harper",1,NM,EN,C,U,,38,
,"The Hobbit",hob,,"Elvenking's Harper",1,NM,EN,C,U,Foil,38,
,"The Hobbit",hob,,"Enchanted River's Grasp",2,NM,EN,C,U,,39,
,"The Hobbit",hob,,"Esgaroth Garrison",2,NM,EN,C,W,,13,
,"The Hobbit",hob,,"Esgaroth Garrison",1,NM,EN,C,W,Foil,13,
,"The Hobbit",hob,,"Fili the Pathfinder",1,NM,EN,R,W,,14,
,"The Hobbit",hob,,"Front Porch Sentries",2,NM,EN,C,B,,67,
,"The Hobbit",hob,,"Galion, Elvenking's Butler",1,NM,EN,U,G,,125,
,"The Hobbit",hob,,"Gandalf, Spark Starter",2,NM,EN,U,R,,97,
,"The Hobbit",hob,,"Gandalf, Spark Starter",1,NM,EN,U,R,Foil,97,
,"The Hobbit",hob,,"Giant's Boulder",2,NM,EN,C,C,,173,
,"The Hobbit",hob,,"Gleaming Splendor",1,NM,EN,M,W,,15,
,"The Hobbit",hob,,"Gnashing of Teeth",1,NM,EN,U,B,,69,
,"The Hobbit",hob,,"Gnashing of Teeth",1,NM,EN,U,B,Foil,69,
,"The Hobbit",hob,,"Goblin Plate Mail",1,NM,EN,C,M,,157,
,"The Hobbit",hob,,"Goblin-town Flunkies",3,NM,EN,C,R,,100,
,"The Hobbit",hob,,"Great Fierce Bee",1,NM,EN,C,B,Foil,73,
,"The Hobbit",hob,,"Great Gilded Boat",1,NM,EN,R,U,"Foil, Alterada",42,
,"The Hobbit",hob,,"Guardian of the Halls",1,NM,EN,C,G,,127,
,"The Hobbit",hob,,"Inside Information",1,NM,EN,M,B,,76,
,"The Hobbit",hob,,"Iron Hills",2,NM,EN,C,L,,185,
,"The Hobbit",hob,,"Iron Hills Stalwart",2,NM,EN,C,R,,102,
,"The Hobbit",hob,,"Kili the Resourceful",1,NM,EN,R,W,,17,
,"The Hobbit",hob,,Lake-town,1,NM,EN,C,L,,186,
,"The Hobbit",hob,,"Lake-town Lookout",2,NM,EN,C,W,,18,
,"The Hobbit",hob,,"Lake-town Toymaker",1,NM,EN,U,W,,19,
,"The Hobbit",hob,,"Large Bear",1,NM,EN,U,M,,159,
,"The Hobbit",hob,,"Little Bear",1,NM,EN,C,G,,128,
,"The Hobbit",hob,,"Long Lake Nuisance",2,NM,EN,C,U,,45,
,"The Hobbit",hob,,"Long-Bodied Grey Dog",2,NM,EN,C,C,,1,
,"The Hobbit",hob,,Mirkwood,1,NM,EN,C,L,,188,
,"The Hobbit",hob,,"Mirkwood Pathmaker",1,NM,EN,U,G,Foil,129,
,"The Hobbit",hob,,"Old Thrush",1,NM,EN,C,C,,2,
,"The Hobbit",hob,,"Old Thrush",1,NM,EN,C,C,Foil,2,
,"The Hobbit",hob,,"Ordinary Bear",1,NM,EN,C,G,Foil,133,
,"The Hobbit",hob,,"Ori, Keeper of Songs",1,NM,EN,C,W,,23,
,"The Hobbit",hob,,"Patient Instructor",1,NM,EN,C,M,,162,
,"The Hobbit",hob,,"Ravenhill Flock",2,NM,EN,U,U,,52,
,"The Hobbit",hob,,"Silvan Reveler",1,NM,EN,U,M,,163,
,"The Hobbit",hob,,"Silvan Reveler",1,NM,EN,U,M,Foil,163,
,"The Hobbit",hob,,"Smaug the Magnificent",1,NM,EN,M,R,,110,
,"The Hobbit",hob,,"Stir Up Trouble",1,NM,EN,C,B,,84,
,"The Hobbit",hob,,"Stir Up Trouble",1,NM,EN,C,B,Foil,84,
,"The Hobbit",hob,,"Stony-Voiced Goblins",1,NM,EN,C,B,,85,
,"The Hobbit",hob,,"The Arkenstone // Seek the Heart",1,NM,EN,M,C,,170,
,"The Hobbit",hob,,"The Eagles Are Coming!",1,NM,EN,R,W,,12,
,"The Hobbit",hob,,"The Lonely Mountain",1,NM,EN,R,L,,187,
,"The Hobbit",hob,,"The Mountain-king's Return",2,NM,EN,U,W,,22,
,"The Hobbit",hob,,"The Notary Hobbits",1,NM,EN,R,G,Foil,131,
,"The Hobbit",hob,,"The Queen of Dale",1,NM,EN,M,W,,24,
,"The Hobbit",hob,,"Thorin Oakenshield",1,NM,EN,U,M,,165,
,"The Hobbit",hob,,"Thranduil's Company",1,NM,EN,R,M,,168,
,"The Hobbit",hob,,"Thranduil, Sindarin Liege // Silvan Rally",1,NM,EN,U,M,,166,
,"The Hobbit",hob,,"Tidings of War",1,NM,EN,C,R,,115,
,"The Hobbit",hob,,"Uneasy Partings",1,NM,EN,C,U,Foil,58,
,"The Hobbit",hob,,"Velvetwing Butterflies // Gaze in Wonder",1,NM,EN,C,W,,30,
,"The Hobbit",hob,,Wargling,2,NM,EN,C,G,,140,
,"The Hobbit (Art Series)",ashob,,"The Arkenstone // Seek the Heart (Art Card with Signature)",1,NM,EN,C,S,,44a,
,"The Hobbit (Dragon Hoard)",dhhob,,"Bofur, Reliable Guardian // Concerted Care",1,NM,EN,U,W,,215,
,"The Hobbit (Scene Card)",schob,,"Bolg's Company",1,NM,EN,R,M,,211,
,"The Hobbit Eternal (Extended Art)",eahoc,,"Dain of the Ancient Halls",1,NM,EN,M,M,,104,
,"The Hobbit Eternal (Scene Card)",schoc,,"Bilbo's Burglaring",1,NM,EN,R,U,Foil,10,
,"The Hobbit Eternal (Scene Card)",schoc,,"Dragon's Desire",1,NM,EN,R,R,,11,
,"The Hobbit Eternal (Scene Card)",schoc,,"Thorin, King of Durin's Folk",1,NM,EN,R,M,,3,
Theros,Theros,ths,"Furia dos Deuses","Anger of the Gods",4,SP,PT,R,R,,112,
"Theros Além da Morte","Theros: Beyond Death",thb,"Anax, Temperado na Forja","Anax, Hardened in the Forge",3,NM,PT,U,R,,125,
"Theros Além da Morte","Theros: Beyond Death",thb,"Fenix de Cinzas","Phoenix of Ash",3,NM,PT,R,R,"Pre Release",148,
"Theros Além da Morte","Theros: Beyond Death",thb,"Intervencao de Heliode","Heliod's Intervention",1,NM,PTEN,R,W,,19,
"Theros Além da Morte","Theros: Beyond Death",thb,Lotus-de-Nyx,"Nyx Lotus",1,NM,PT,R,C,,235,
"Theros Além da Morte","Theros: Beyond Death",thb,"Olhos de Sentinela","Sentinel's Eyes",1,NM,PT,C,W,,36,
"Theros Além da Morte (Variantes)","Theros: Beyond Death (Variants)",cthb,"Anax, Temperado na Forja","Anax, Hardened in the Forge",2,NM,EN,U,R,,264,
"Theros Além da Morte (Variantes)","Theros: Beyond Death (Variants)",cthb,"Heliode, Coroa de Sol","Heliod, Sun-Crowned",1,NM,PTEN,M,W,,259,
,"Treasure Chest",pxtc,"Desembarque da Legiao","Legion's Landing",2,NM,EN,R,W,,22,
"Trono de Eldraine","Throne of Eldraine",eld,Brasolamina,Embercleave,3,NM,PT,M,R,Promo,120,
"Trono de Eldraine","Throne of Eldraine",eld,"Campeao Fervoroso","Fervent Champion",4,NM,EN,R,R,,124,
"Trono de Eldraine","Throne of Eldraine",eld,"Cavaleiro de Rochabeira // Carga do Pedregulho","Rimrock Knight // Boulder Rush",5,NM,PT,C,R,,137,
"Trono de Eldraine","Throne of Eldraine",eld,"Facanha de Rochaferro","Irencrag Feat",2,NM,PT,R,R,,127,
"Trono de Eldraine","Throne of Eldraine",eld,"Gigante Esmaga-ossos // Pisar","Bonecrusher Giant // Stomp",4,NM,EN,R,R,,115,
"Trono de Eldraine","Throne of Eldraine",eld,"Torbran, Tano de Lapa Vermelha","Torbran, Thane of Red Fell",3,NM,PT,R,R,,147,
,"Ultimate Masters",uma,"Dragao Pira Funesta","Balefire Dragon",1,NM,EN,M,R,,124,
Visões,Visions,vi,Karoo,Karoo,1,NM,EN,U,L,,69,
Visões,Visions,vi,"Mascara de Dragao","Dragon Mask",1,NM,EN,U,C,,28,
Zendikar,Zendikar,zen,"Emeria, a Ruina Celeste","Emeria, the Sky Ruin",1,NM,EN,R,L,,213,
Zendikar,Zendikar,zen,"Guerrilheiro Goblin","Goblin Bushwhacker",4,NM,EN,C,R,,125,
